id,studio_id,instructor_id,source,source_id,title,style,difficulty,pacing,duration_min,price,description,target_outcomes,contraindications,schedule,crawled_at,search_vec
61,,,taling,8f53ffc8867a406b,성형 없이 얼굴 골격 재창조!<br><셀프 경락 + 페이스 요가>,yoga,,,,,,,,"{""city"": ""광주"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-05-21T23:50:39.835942+00:00,'yoga':10 '경락':7 '골격':4 '성형':1 '셀프':6 '얼굴':3 '없이':2 '요가':9 '재창조':5 '페이스':8
62,,,taling,570b6fc028d42064,아메리카요가 발산점,yoga,,,,,,,,"{""city"": ""광주"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-06T07:50:34.270269+00:00,'yoga':3 '발산점':2 '아메리카요가':1
63,,,taling,fe1c3668c2fe6715,아메리카요가 건대점,yoga,,,,,,,,"{""city"": ""광주"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-06T07:50:34.270292+00:00,'yoga':3 '건대점':2 '아메리카요가':1
64,,,taling,31ebbd161eaa1242,아메리카요가 목동점,yoga,,,,,,,,"{""city"": ""광주"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-06T07:50:34.270302+00:00,'yoga':3 '목동점':2 '아메리카요가':1
65,,,taling,0ec661002eea419a,아메리카요가 청량리점,yoga,,,,,,,,"{""city"": ""광주"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-06T07:50:34.270311+00:00,'yoga':3 '아메리카요가':1 '청량리점':2
66,,,taling,6ddff3aef846b002,아메리카요가 여의도점,yoga,,,,,,,,"{""city"": ""광주"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-06T07:50:34.270321+00:00,'yoga':3 '아메리카요가':1 '여의도점':2
67,,,taling,a456fb7cdfd8a201,하트풀니스 요가와 자애 명상,meditation,,,,,,,,"{""city"": ""광주"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-06T07:50:34.270387+00:00,'meditation':5 '명상':4 '요가와':2 '자애':3 '하트풀니스':1
68,,,taling,5d3e09641ea59b8a,올바른 휴식을 도와주는  회복 요가,yoga,,,,,,,,"{""city"": ""광주"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-06T07:50:34.270509+00:00,'yoga':6 '도와주는':3 '올바른':1 '요가':5 '회복':4 '휴식을':2
69,,,taling,e93213b37aa35947,요가강사로서의 성공전략,yoga,,,,,,,,"{""city"": ""광주"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-06T07:50:34.270452+00:00,'yoga':3 '성공전략':2 '요가강사로서의':1
70,,,taling,8b172a866f7b7e30,봄의 생기를 불어넣는 <br>전신 요가 (아쉬탕가) ,ashtanga,,,,,,,,"{""city"": ""광주"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-06T07:50:34.270563+00:00,'ashtanga':7 '봄의':1 '불어넣는':3 '생기를':2 '아쉬탕가':6 '요가':5 '전신':4
71,,,taling,2d6641b19db86500,"아쉬탕가, 싱잉볼 명상, 요가<br>내 삶을 채우는 웰니스 패키지",ashtanga,,,,,,,,"{""city"": ""광주"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-06T07:50:34.270619+00:00,'ashtanga':10 '내':5 '명상':3 '삶을':6 '싱잉볼':2 '아쉬탕가':1 '요가':4 '웰니스':8 '채우는':7 '패키지':9
72,,,taling,1b71b2c34936600f,"주말 요가, 디퓨져 원데이 클래스",yoga,,,,,,,,"{""city"": ""광주"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-06T07:50:34.270704+00:00,'yoga':6 '디퓨져':3 '요가':2 '원데이':4 '주말':1 '클래스':5
73,,,taling,acaefe4d1651b6ec,마음챙김 명상요가 - 마음 가는 대로 요가,yin,,,,,,,,"{""city"": ""대전"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-06T07:51:32.542810+00:00,'yin':7 '가는':4 '대로':5 '마음':3 '마음챙김':1 '명상요가':2 '요가':6
74,,,taling,3353101f7c3429cb,무너진 체형 8주 만에 리셋! <체형 교정 솔루션 요가>,yoga,,,,,,,,"{""city"": ""대전"", ""type"": ""private"", ""instructor"": null, ""platform_url"": ""https://www.taling.me""}",2026-06-06T07:51:32.551379+00:00,"'8주':3 'yoga':10 '교정':7 '리셋':5 '만에':4 '무너진':1 '솔루션':8 '요가':9 '체형':2,6"
